note,auteur,assureur,produit,type,date_publication,date_exp,longueur_avis,avis_corrected,avis_en_clean,avis_clean_nlp_en
2.0,ced-67123,AXA,auto,train,26/09/2018,01/09/2018,236,je me suis fait résilier pour ne pas avoir envoyer la copie de la carte grise selon leur explication comme je l'ai envoyé par courrier simple et non par recommander je ne peux rien prouvé et il mon laissé roulé mois sans me prévenir,I was canceled for not having sent the copy of the registration document according to their explanation as I sent it by regular mail and not by registered mail I cannot prove anything and it left me rolled up for months without warning me,canceled sent copy registration document according explanation sent regular mail registered mail cannot prove anything left rolled warning
4.0,raphael-r-117165,GMF,auto,train,15/06/2021,01/06/2021,177,correct au niveau des prix assistance téléphonique bien espace client interne bien agence bien au niveau relationnel et horaire que dire d'autre que tout est bien à la gmf,correct in terms of prices telephone assistance good internal customer area good agency good in terms of relationships and hours what can I say other than that everything is good at the gmf,correct terms prices telephone assistance good internal area good agency good terms relationships hours say everything good gmf
2.0,fan8484848-62586,MAAF,habitation,train,22/03/2018,01/03/2018,165,c'est lors du sinistre que vous allez comprendre l'incompétence de cette assureur de plus les agents n'appliquent pas les tarifs que vous pouvez voir sur interne,"it is during the disaster that you will understand the incompetence of this insurer, moreover the agents do not apply the rates that you can see internally",disaster understand incompetence insurer moreover agents apply rates see internally
2.0,lw-139215,SwissLife,prevoyance,train,08/11/2021,01/07/2021,1027,nullissime on va de bourdes en bourdes en dépit des documents contractuels les mensualités sont prélevées sur mon compte perse et les indemnités versées sur mon compte pré une première demande rien n'est fait une deuxième on résout le problème uniquement pour le plan retraite en m'assurant que les changements seront faits pour la prévoyance et la santé une troisième demande on résout uniquement le problème pour la prévoyance une quatrième demande les mouvements sur les comptes sont enfin juste pour les trois contrats on me fait comprendre que c'est ma faute je m'énerve on me répond que les contrats dépendent de différents services qui ne se transférent pas les mais les demandes étaient pourtant faites via le portail en ligne pour chaque contrat évidemment chaque demande prend un temps considérable aujourd'hui j'ai besoin d'un relevé de situation et le service est momentanément indisponible depuis 48 heures personne ne répond au téléphone il faut dire qu'il est 18h02 fuyez,absolutely stupid we go from blunder to blunder despite the contractual documents the monthly payments are taken from my Persian account and the compensation paid into my account pre a first request nothing is done a second we resolve the problem only for the retirement plan by assuring me that the changes will be made for the pension plan and health a third request we only resolve the problem for the pension plan a fourth request the movements on the accounts are finally fair for the three contracts I am made to understand that it's my fault I'm getting angry I am told that the contracts depend on different services which are not transferred but the requests were nevertheless made via the online portal for each contract obviously each request takes a considerable amount of time today I need a situation report and the service has been temporarily unavailable for 48 hours no one answers the phone it must be said that it is 6:02 p.m. run away,absolutely stupid blunder blunder despite contractual documents monthly payments taken persian account compensation paid account pre first request nothing done second resolve problem retirement plan assuring changes made pension plan health third request resolve problem pension plan fourth request movements accounts finally fair three contracts made understand fault getting angry told contracts depend different services transferred requests nevertheless made via online portal obviously request takes considerable amount today need situation report temporarily unavailable hours one answers phone must said run away
2.0,neajeriam-80229,Sogecap,vie,train,19/10/2019,01/10/2019,228,mon fils essaie depuis 4 mois d'encaisser un contrat d'assurance vie ouvert à son nom par sa gd mère pour acheter un appartement l'agence sg en charge mon agence sg n'obtient pas de réponse de la sogecap c'est inadmissible,my son has been trying for 4 months to cash in a life insurance contract opened in his name by his grandmother to buy an apartment the sg agency in charge my sg agency does not get a response from sogecap this is unacceptable,son trying cash life opened name grandmother buy apartment agency charge agency get response sogecap unacceptable
1.0,edwige49-58360,Active Assurances,auto,train,25/10/2017,01/10/2017,197,a fuir ne prends pas compte les résiliations et mentionne des sinistres imaginaires jamais la même personne nous réponds les courriers envoyés au siège doivent finir directement à la poubelle,to avoid does not take into account terminations and mentions imaginary disasters never the same person answers us letters sent to headquarters must end up directly in the trash,avoid take account terminations mentions imaginary disasters never person answers letters sent headquarters must end directly trash
2.0,misteraudi-60413,Direct Assurance,auto,train,12/01/2018,01/01/2018,278,entre l'offre faite sur le site d'assurland et la propos que l'on vous fait il y a une différence de tarif importante on vous dit au téléphone que l'offre interne est faite pour appâter le nouveau client et que l'année d'après le tarif sera le même que celui que l'on me propose,"between the offer made on the assurland website and the statement made to you there is a significant difference in price, you are told on the phone that the internal offer is made to lure the new customer and that the year after the price will be the same as the one offered to me",offer made assurland website statement made significant difference price told phone internal offer made lure new year price one offered
5.0,carbonnel-i-124192,L'olivier Assurance,auto,train,22/07/2021,01/07/2021,154,très bonne réactivité et accompagnement tout le long de la procédure d'inscription conseillère très à l'écoute et réceptive et service rapide et efficace,very good responsiveness and support throughout the registration procedure very attentive and receptive advisor and fast and efficient service,good responsiveness support throughout registration procedure attentive receptive advisor fast efficient
4.0,jcc-99974,GMF,auto,train,10/11/2020,01/11/2020,1189,on critique toujours quand ca ne va pas mais pour une fois je suis tellement satisfais que je ne peux pas laisser critiquer une assurance dont les conseils m ont sauvés la mise déjà a la signature de mon contrat j ai été extrêmement bien conseillé mais je ne le savais pas encore je m en suis aperçu lors du vol de mon véhicule traumatise par ce vol j ai contacte plusieurs fois la gmf et ses services a besançon j ai eu plusieurs interlocuteurs qui ont tous été très agréables et très compréhensibles après toutes les démarches et les procédures obligatoires la gmf m as remboursé entièrement sans aucun problème dans des délais très raisonnables de ce fait j ai racheté un autre véhicule et par respect pour ces personnes j ai repris mon assurance chez eux et encore une fois conseillé par une correspondante super compétente je voulais aussi dire que j avais déjà comparé les tarifs avec plusieurs assurances et les différences étaient vraiment infimes comme quoi des fois même si elle sont parfois plus chères ce qui n était pas le cas pour moi on évite parfois de gros soucis qui ne sont pas les bienvenus lorsque l on a un sinistre merci au personnel de la gmf,we always criticize when things are not going well but for once I am so satisfied that I cannot let criticize an insurance company whose advice saved my day already when signing my contract I was extremely well advised but I did not know it yet I noticed it during the theft of my vehicle traumatized by this theft I contacted the GMF and its services in Besançon several times I had several contacts who were all very pleasant and very understandable after all the procedures and the obligatory procedures the gmf reimbursed me in full without any problem within a very reasonable time frame so I bought another vehicle and out of respect for these people I took my insurance back from them and once again advised by a super competent correspondent I also wanted to say that I had already compared the prices with several insurances and the differences were really tiny like that sometimes even if they are sometimes more expensive which was not the case for me we sometimes avoid big problems which are not welcome when we have a claim thank you to the gmf staff,always criticize things going well satisfied cannot let criticize company whose advice saved day already signing extremely well advised know yet noticed theft traumatized theft contacted gmf services besan several times several contacts pleasant understandable procedures obligatory procedures gmf reimbursed full problem within reasonable frame bought another respect people took back advised super competent correspondent also wanted say already compared prices several insurances differences really tiny like sometimes sometimes expensive case sometimes avoid big problems welcome claim gmf staff
1.0,samra-91894,L'olivier Assurance,auto,train,09/07/2020,01/07/2020,1075,au vu des commentaires que j'ai pu lire j'espère vivement que la transmission ultérieure du récépissé de la casse aboutira à une fin de prélèvement immédiatement sans un dernier prélèvement pour la route histoire de renflouer j'ai aussi eu droit à une hausse tarifaire la deuxième année ainsi qu'une autre après un déménagement avec stationnement sur voie publique lors de la quatrième année aussi importante que la deuxième année ils ont fait un geste et selon mes constatations j'ai simplement eu droit à une tarification dans la continuité de mon ancienneté l'année suivante actuellement également ce serait un comble si je devais faire opposition et être accablée par des frais de pénalité de retard accompagné d'un fichage pour non-paiement même s'il y a une date sur le document et une date d'envoi de ce document on ne sait jamais la régularisation de ce type de problème pourrait prendre un certain temps les garanties inclus dans mon contrat n'équivaut pas les garanties supérieures chez un autre assureur pour quelques centaines moins cher,"in view of the comments that I have been able to read, I very much hope that the subsequent transmission of the receipt for the scrapyard will result in an end to the direct debit immediately without a final direct debit for the road just to bail out I was also entitled to a price increase in the second year as well as another after a move with parking on a public road during the fourth year as important as the second year they made a gesture and according to my findings I was simply entitled to a price increase in continuity with my seniority the following year currently also this would be a shame if I had to file an opposition and be burdened by late payment penalty fees accompanied by a filing for non-payment even if there is a date on the document and a date for sending this document you never know the regularization of this type of problem could take a certain time the guarantees included in my contract are not equivalent to the superior guarantees with another insurer for a few hundred less",view comments able read much hope subsequent transmission receipt scrapyard result end direct debit immediately final direct debit road bail also entitled price increase second year well another move parking public road fourth year important second year made gesture according findings simply entitled price increase continuity seniority following year currently also would shame file opposition burdened late payment penalty fees accompanied filing non-payment date document date sending document never know regularization type problem could take certain guarantees included equivalent superior guarantees another insurer hundred less
2.0,fr3-96491,Direct Assurance,auto,train,20/08/2020,01/08/2020,511,attention la perte ou le vol de clés n'est pas couvert j'ai pourtant pris la totalité des garanties existantes tout risque et pack sérénité malheureusement j'ai perdu mes clés dans un lac en vacances et je me suis entendu dire que se n'était pas couvert par mon contrat je me suis retrouvé à 500 km de chez moi sans clés voiture fermé en famille sans assistance bref insatisfait et je quitte cette assurance le plus vite possible avec direct assurance c'est moins cher mais on sais pourquoi,"Be careful, the loss or theft of keys is not covered. However, I have taken out all of the existing all-risk guarantees and peace of mind pack. Unfortunately, I lost my keys in a lake on vacation and I was told that it was not covered by my contract. I found myself 500 km from home without keys, car locked with family without assistance, in short, unsatisfied and I am leaving this insurance as quickly as possible with direct insurance, it's cheaper but we know why",careful loss theft keys covered however taken existing all-risk guarantees peace mind pack unfortunately lost keys lake vacation told covered found 500 home keys locked family assistance short unsatisfied leaving quickly possible direct cheaper know
5.0,do-carmo-duarte-d-108285,L'olivier Assurance,auto,train,27/03/2021,01/03/2021,158,je suis très satisfait du service de l'olivier assurance aussi bien au niveau des tarifs que du service client tout est plutôt simple d'une manière générale,"I am very satisfied with the Olivier Assurance service both in terms of prices and customer service, everything is generally quite simple",satisfied olivier assurance terms prices everything generally quite simple
5.0,dave116-90948,Direct Assurance,auto,train,15/06/2020,01/06/2020,286,cela va faire bientôt 2 ans que je suis chez direct assurance je suis plutôt satisfait je n'ai jamais eu de problème avec eux la gestion des contrats est très bonne et notre espace client nous permet de faire beaucoup de choses en autonomie je recommande vivement direct assurance,I've been with direct insurance for almost 2 years now. I'm quite satisfied. I've never had a problem with them. Contract management is very good and our customer area allows us to do a lot of things independently. I highly recommend direct insurance.,direct almost quite satisfied never problem management good area allows lot things independently highly recommend direct
4.0,rosunally-f-133751,L'olivier Assurance,auto,train,21/09/2021,01/09/2021,155,très satisfait du prix et le contacte téléphonique excellent explication très claire a recommander a mes proche et mon entourage je vous remercie d'avance,very satisfied with the price and the telephone contact excellent very clear explanation to recommend to my loved ones and those around me thank you in advance,satisfied price telephone contact excellent clear explanation recommend loved ones around advance
1.0,oliver-64201,AXA,habitation,train,25/05/2018,01/05/2018,427,dégât des eaux 01 03 2018 visite de l'expert 02 05 2018 compte rendu expert 14 05 2018 faut pas être pressé l'expert a minutieusement démonté les devis des entreprises durant la visite axa demande des nos très précises mais leur rapport d'expertise renvoie une évaluation à la louche très sous-estimée le service sinistre est nul c'est moi qui leur ai expliqué comme il fallait interpréter le rapport d'expertise,water damage 01 03 2018 visit of the expert 02 05 2018 expert report 14 05 2018 do not be in a hurry the expert carefully dismantled the quotes from the companies during the visit axa requests our very precise but their expert report returns a sketchy evaluation which is very underestimated the claims service is lousy it was me who explained to them how to interpret the expert report,water damage 2018 visit expert 2018 expert report 2018 hurry expert carefully dismantled quotes companies visit axa requests precise expert report returns sketchy evaluation underestimated claims lousy explained interpret expert report
4.0,riviere-a-130975,L'olivier Assurance,auto,train,02/09/2021,01/09/2021,150,bon rapport qualité prix bonne réactivité bon contact avec les chargés de clientèle l'assurance l'olivier a su être réactif en cas de sinistre ras,good value for money good responsiveness good contact with customer service representatives l'olivier insurance was able to be responsive in the event of a disaster,good value money good responsiveness good contact representatives l'olivier able responsive event disaster
2.0,gui-75130,MAAF,habitation,train,16/04/2019,01/04/2019,206,le service travaux est incapable de réparer mon carreau cassé et mon volet suite à mon cambriolage du 6 mars vivre dans le noir pendant 6 semaines avec la crainte d'un nouveau cambriolage merci la maaf,the works department is unable to repair my broken tile and my shutter following my burglary on March 6 living in the dark for 6 weeks with the fear of another burglary thank you maaf,works department unable repair broken tile shutter following burglary march living dark weeks fear another burglary maaf
1.0,zouzou-67918,Active Assurances,auto,train,20/10/2018,01/10/2018,589,a évite largement je souscrit une assurance aujourd'hui je ne peux pas télécharge l'attestation sur leur site car le site et en bêta impossible de me connecte sur mon compte j'ai appelle le service client surprise on ne peux pas vous envoyé l'attestation par mais car c'est samedi si vous pouvez pas pourquoi accepte un client un samedi du coup je ne peux pas allez travaille une journée de travail perdu en l'appelle trop cher 0 80 centime la minute j'ai reste 30 mn en attente c'est du vol je porte plainte pour le moteur de recherche les furets nom aussi car c'est lui le responsable,has largely avoided I take out insurance today I cannot download the certificate on their site because the site and in beta impossible to connect to my account I called the customer service surprise we cannot send you the certificate by but because it's Saturday if you can't why accept a client on a Saturday so I can't go work a day of work wasted by calling it too expensive 0 80 cents per minute I stayed 30 minutes waiting it's theft I carry complaint for the search engine ferrets name too because he is the one responsible,largely avoided take today cannot download certificate site site beta impossible connect account called surprise cannot send certificate saturday can't accept client saturday can't work day work wasted calling expensive cents per minute stayed minutes waiting theft carry complaint search engine ferrets name one responsible
1.0,rebecca-99204,Mercer,sante,train,25/10/2020,01/10/2020,181,impossible de les joindre par téléphone attente interminable espace client ne marche pas donc impossible d'avoir une validation de devis juste l'horreur numéro payant en plus,impossible to reach them by phone endless waiting customer area does not work so impossible to have a quote validation just the horror paid number in addition,impossible reach phone endless waiting area work impossible quote validation horror paid number addition
5.0,david-d-133789,Direct Assurance,auto,train,21/09/2021,01/09/2021,193,satisfait super service client assurance pas cher parfait je suis satisfait de direct assurance c'est une très bonne assurance je vous remercie de votre réactivité je suis entièrement satisfait,satisfied great customer service cheap insurance perfect I am satisfied with direct insurance it is very good insurance I thank you for your responsiveness I am completely satisfied,satisfied great cheap perfect satisfied direct good responsiveness completely satisfied
1.0,nico77310-123804,Sogessur,habitation,train,19/07/2021,01/07/2021,314,assureur présent pour ramasser la cotisation mais absent quand vous avez besoin de lui si vous aimez attendre 30 min sur des disques vocaux pour vous faire raccrocher au nez ou ne jamais avoir de réponses à vos mais alors souscrivez sogessur vous serez servis a part ça assureur pas sérieux à fuir absolument,insurer present to collect the contribution but absent when you need him if you like to wait 30 minutes on voice discs to get hung up on you or never get answers to your questions but then subscribe to sogessur you will be served apart from that not serious insurer to avoid absolutely,insurer present collect contribution absent need like wait minutes voice discs get hung never get answers questions subscribe sogessur served apart serious insurer avoid absolutely
3.0,hortense22-56611,AXA,auto,train,11/08/2017,01/08/2017,446,je paye chaque année ma facture d'assurance et suis en bonus j'entends souvent dire que axa est mauvais payeur également pr les assurances incendie-vol mais ne l'ai pas vérifié je suis également assuré chez axa pour mon assurance incendie-vol et rc familiale police 811 577 017 et je remarque que la concurrence actuellement est moins chère et suis en train de mettre mes choix en question j'ai fait des placements d'argent aussi chez axa,I pay my insurance bill every year and get a bonus I often hear that axa is a bad payer also for fire and theft insurance but have not checked it I am also insured with axa for my fire and theft and family third party liability insurance policy 811 577 017 and I notice that the competition is currently cheaper and I am questioning my choices I have also made money investments with axa,pay bill every year get bonus often hear axa bad payer also fire theft checked also insured axa fire theft family third party liability policy 811 577 017 notice competition currently cheaper questioning choices also made money investments axa
1.0,william95-54781,Eurofil,auto,train,18/05/2017,01/05/2017,555,assurance de plus en en plus nage je demande un renseignement savoir si j'achète un véhicule et que plus tard je le donne à ma fille jeune permis c'est possible la jeune femme me répond avec agacement que non suite à un sinistre grave jeune permis ça ne se fait plus chez eux et que si je compte faire ça je ne serais plus assuré chez eux car je vais leur faire perdre du temps administrativement alors c'est simple je vais trouver une assurance jeune permis et je vais virer mes contrats eurofil content eurofil un client de 10 ans en moins,insurance more and more swimming I ask for information to know if I buy a vehicle and that later I give it to my daughter young license it is possible the young woman replies to me with annoyance that no following a serious accident young license this is no longer done with them and that if I intend to do that I will no longer be insured with them because I will waste their time administratively so it's simple I will find insurance young license and I will transfer my contracts eurofil content eurofil a customer of 10 years in less,swimming ask information know buy later give daughter young license possible young woman replies annoyance following serious accident young license longer done intend longer insured waste administratively simple find young license transfer contracts eurofil content eurofil less
2.0,camille-89881,L'olivier Assurance,auto,train,23/05/2020,01/05/2020,924,cruel manque de professionnalisme et de communication entre conseillers assurance auto souscrite le 07 05 résiliée par l'assureur le 09 05 j'ai passé 1h30 au téléphone en expliquant au conseiller que je souhaitais assurer mon véhicule pour des déplacements professionnels celui - ci m'a assuré que c'était faisable deux jours après l'olivier me rappelle pour résilier mon assurance car ils ne couvrent pas ce type de trajets sauf que j'ai payé la totalité lors de ma souscription soit pratiquement 400 euros l'olivier refuse de me rembourser la totalité il s'agit pourtant d'un manque de professionnalisme de leur part je n'y suis pour rien et en plus de ça j'apprends que j'ai également payé des frais d'ouverture à hauteur de 36 euros dont je n'étais pas au courant et qui ne me seront pas non plus remboursés donc pour avoir été assurée chez eux 2 jours je paie 50 euros j'appelle ça du vole,"cruel lack of professionalism and communication between advisors car insurance taken out on 07 05 canceled by the insurer on 09 05 I spent 1h30 on the phone explaining to the advisor that I wanted to insure my vehicle for business trips, he assured me that it was possible two days later the Olivier called me back to cancel my insurance because they do not cover this type of journey except that I paid the entirety when I subscribed, which is practically 400 euros the Olivier refuses to reimburse me in full it is however a lack of professionalism on their part I have nothing to do with it and on top of that I learn that I also paid opening costs of 36 euros which I was not aware of and which will not be reimbursed to me either so for having been insured with them for 2 days I pay 50 euros I call that stealing",cruel lack professionalism communication advisors taken canceled insurer spent 1h30 phone explaining advisor wanted insure business trips assured possible two days later olivier called back cancel cover type journey except paid entirety subscribed practically 400 euros olivier refuses reimburse full however lack professionalism part nothing top learn also paid opening costs euros aware reimbursed either insured days pay euros call stealing
5.0,raphael-b-125952,APRIL Moto,moto,train,02/08/2021,01/08/2021,154,prix très correct par rapport aux autres compagnies d'assurance avec les mêmes garanties conseiller rapide et efficace je recommande pour les motards,"very fair price compared to other insurance companies with the same guarantees, fast and efficient advisor, I recommend for bikers",fair price compared companies guarantees fast efficient advisor recommend bikers
3.0,fredmount-105074,AXA,moto,train,02/03/2021,01/03/2021,1626,très content de axa jusqu'à maintenant mais aujourd'hui j'ai quelques doutes en effet plusieurs petits détail qui viennes de survenir me contraigne à devenir plus vigilant a de petit détail sur axa 1 je viens de réaliser l'achat d'un scooter électrique 125 dans une concession de moto électrique facture à l'appui je joins mon assureur qui depuis 20 ans n'as quasiment jamais entendu parler de moi lui demande une assurance temporaire de déplacement de ce dis véhicule jusqu'au vendeur et constructeur du véhicule 20 km de trajet être assuré temporairement 1h afin d'y réaliser un contrôle strict avant de l'assurée définitivement je travaille chez le constructeur du véhicule proprement dis au postes monteur opérateur en véhicule électrique il m'as fallu quasiment 1 semaine pour réussir à prouvé m'as bonne foi réunir les documents demandés et au bout de 5 émail obtenir enfin le sésame tant espéré sachant que j'ai déjà un scooter 125 assuré chez eux 2 de ce faite n'étant pas de bonne volonté à mettre chez axa la simplicité itinérante à ma fidélité de 20 ans je leur ai quand même demandé un devis sachant je travaille dedans qu'un véhicule électrique coûte deux fois moins chère en assurance chez quasiment tout les assureurs de france et bien non chez axa il s'en toutes je suis quand même 50 euro plus chère que mon assurance de scooter thermique donc vous vous imaginez bien ce que je peux penser de ce genre de pratique commerciale par pur plaisir de vous répondre je vous joins mon adresse mais au cas où vous auriez quelques doutes sur différentes affirmations que j'ai put évoquer amicalement,very happy with axa so far but today I have some doubts in fact several small details which have just arisen force me to become more vigilant a small detail on axa 1 I have just purchased an electric scooter 125 in an electric motorcycle dealership supporting invoice I enclose my insurer who for 20 years has almost never heard from me asks him for temporary insurance for the movement of this said vehicle to the seller and manufacturer of the vehicle 20 km travel time be temporarily insured for 1 hour in order to carry out a strict check before permanently insuring it. I work for the manufacturer of the vehicle itself in the electric vehicle fitter operator position. It took me almost 1 week to succeed in proving my good faith in gathering the requested documents and after 5 enamel finally obtain the much hoped for sesame knowing that I already have a 125 scooter insured with them 2 therefore not being of good will to put simplicity at AXA traveling to my loyalty of 20 years I still asked them for a quote knowing I work in it that an electric vehicle costs half as much in insurance with almost all the insurers in France and well no with Axa it is all I am still 50 euros more expensive than my thermal scooter insurance so you can imagine what I can think of this kind of commercial practice for the pure pleasure of answering you I am attaching my address but in case you have some doubts about different statements that I was able to talk amicably,happy axa far today doubts fact several small details arisen force become vigilant small detail axa purchased electric scooter 125 electric motorcycle dealership supporting invoice enclose insurer almost never heard asks temporary movement said seller manufacturer travel temporarily insured hour order carry strict check permanently insuring work manufacturer electric fitter operator position took almost week succeed proving good faith gathering requested documents enamel finally obtain much hoped sesame knowing already 125 scooter insured therefore good put simplicity axa traveling loyalty asked quote knowing work electric costs half much almost insurers france well axa euros expensive thermal scooter imagine think kind commercial practice pure pleasure answering attaching address case doubts different statements able talk amicably
1.0,tnyz13-69232,Ag2r La Mondiale,sante,train,07/12/2018,01/12/2018,248,bientôt 2 mois que j attend un remboursement les mais sont sans sans suite j ai téléphoné 3 fois 3 fois qu ils me disent qu ils s en occupe mais rien je pensais me réinscrire chez eux une fois mon contrat terminé mais là ça va être compliqué,I've been waiting for a refund for almost 2 months but there's been no follow-up. I've called 3 times 3 times they tell me they're taking care of it but nothing I was thinking of re-registering with them once my contract is over but now it's going to be complicated,waiting refund almost there's follow-up called times times tell taking care nothing thinking re-registering going complicated
4.0,fortes-gomes-j-117541,L'olivier Assurance,auto,train,18/06/2021,01/06/2021,156,je suis satisfait du service les prestations proposées sont très intéressantes la conseillère a été très bien et m'a tout bien expliqué je recommanderais,I am satisfied with the service the services offered are very interesting the advisor was very good and explained everything to me well I would recommend,satisfied services offered interesting advisor good explained everything well would recommend
3.0,mohamed-ali--s-134806,Direct Assurance,auto,train,28/09/2021,01/09/2021,165,bonjour je suis satisfais de vos service pour l'instant me faite pas changer d'avis le prix et correcte le reste je vais le découvrir et j'espère ne pas être déçu,hello I am satisfied with your service for the moment it doesn't make me change my mind the price and correct the rest I will find out and I hope not to be disappointed,hello satisfied moment make change mind price correct rest find hope disappointed
1.0,nina06-96937,Cegema Assurances,sante,train,02/09/2020,01/09/2020,203,impossible de joindre cette mutuelle quelle idée d avoir adhéré a cette te qui ne remplit vraiment pas ses devoirs pas de remboursement et celui qui m a fait mon contrat est aux abonnés absents,"impossible to contact this mutual, what an idea to have joined this you which really does not fulfill its duties no reimbursement and the one who gave me my contract is absent subscribers",impossible contact mutual idea joined really fulfill duties reimbursement one gave absent subscribers
4.0,isabelle-a-130772,GMF,auto,train,02/09/2021,01/09/2021,183,satisfaite des services et facilité de contact gestion clarté des conditions tarifs compétitifs aux autres offres sollicitation des conseillers bienveillante et non intrusive,satisfied with the services and ease of contact management clarity of conditions competitive prices with other offers friendly and non-intrusive solicitation of advisors,satisfied services ease contact management clarity conditions competitive prices offers friendly non-intrusive solicitation advisors
1.0,red-100775,Allianz,auto,train,30/11/2020,01/11/2020,273,toujours pas rembourser depuis 8 mois pour un simple accrochage sur ma classe a dont je ne qui pas en tort le garage m'a débiter le montant de 3900 est allianz tir rien j'engage une procédure avec dommage et intérêt je vous conseil de ne surtout pas souscrit chez eux,still not repaying for 8 months for a simple collision on my class a of which I am not at fault the garage debited me the amount of 3900 is allianz tir nothing I initiate a procedure with damages and interest I advise you not to subscribe to them,repaying simple collision class fault garage debited amount 3900 allianz tir nothing initiate procedure damages interest advise subscribe
1.0,robert-76458,Allianz,habitation,train,04/06/2019,01/06/2019,380,lamentable incompétent votre numéro de contrat est inconnu au bout de 15 ans impossible de régler par cb le moyen-âge et encore leur numéro de tel sur l'avis d'échéance habitation est celui des sinistres auto des vrais chariots en cas de sinistre je n 'ose même pas y penser et le service réclamation sur le site est en panne un comble allianz est une panne,lamentable incompetent your contract number is unknown after 15 years impossible to pay by credit card the Middle Ages and still their telephone number on the notice of expiry of home is that of the auto claims of the real carts in the event of a claim I don't even dare to think about it and the complaints service on the site is broken down the height of allianz is a breakdown,lamentable incompetent number unknown impossible pay credit card middle ages telephone number notice expiry home auto claims real carts event claim dare think complaints site broken height allianz breakdown
3.0,alan-s-128651,APRIL Moto,moto,train,19/08/2021,01/08/2021,194,souscription très rapide les informations sont succinctes mais claires réponse d'un conseiller efficace dans les minutes qui ont suivi mon devis j'ai pu souscrire pour prise d'effet immédiat,very fast subscription the information is succinct but clear response from an efficient advisor in the minutes following my quote I was able to subscribe for immediate effect,fast subscription information succinct clear response efficient advisor minutes following quote able subscribe immediate effect
5.0,sogorb-p-114915,L'olivier Assurance,auto,train,26/05/2021,01/05/2021,156,excellent rapport qualité prix et le service client est rapide et performant j'espère que cet avis sera confirmé si d'aventure un sinistre devait arriver,excellent value for money and the customer service is fast and efficient. I hope that this review will be confirmed if by chance a disaster were to occur,excellent value money fast efficient hope review confirmed chance disaster occur
5.0,alan--m-124302,APRIL Moto,moto,train,22/07/2021,01/07/2021,170,nickel et rapide je recommande vivement cette assurance je les trouvais grâce un forum de recherche et j'ai déjà été assuré au par avant et je nés jamais eu aucun soucis,nickel and fast I highly recommend this insurance I found them through a search forum and I have already been insured before and I never had any problems,nickel fast highly recommend found search forum already insured never problems
1.0,anto-72126,Néoliane Santé,sante,train,13/03/2019,01/03/2019,265,une mutuelle avec des démarcheurs peu scrupuleux des résiliations impossibles un service néant fuyez ces gens tant qu'il n'est pas trop tard car ce sera un parcours du combattant pour les quitter sans qu'ils ne vous aient dépouillés de peu d'argent qu'il vous reste,a mutual with unscrupulous direct sellers impossible terminations a zero service run away from these people as long as it is not too late because it will be an obstacle course to leave them without them having robbed you of the little money you have left,mutual unscrupulous direct sellers impossible terminations zero run away people long late obstacle course leave robbed little money left
1.0,jessy-m-124207,MAAF,auto,train,22/07/2021,01/07/2021,492,compagnie d'assurance à fuir absolument si vous voulez des malus sans aucune raison valable et sans aucune expertise foncez là-bas aucune écoute de leurs clients dommages 5 souscriptions d'assurance chez eux mais la qualité de service et le professionnalisme ne sont pas des valeurs qu'ils connaissent visiblement après plusieurs entretiens téléphoniques avec d'autres compagnies d'assurance je me demande pourquoi je ne suis pas parti plutôt de la maaf à bon entendeur cesse,insurance company to avoid absolutely if you want penalties without any valid reason and without any expertise go there no listening to their damage clients 5 insurance subscriptions with them but the quality of service and professionalism are not values ​​that they obviously know after several telephone interviews with other insurance companies I wonder why I did not leave the maaf instead to the wise stop,company avoid absolutely want penalties valid reason expertise listening damage clients subscriptions quality professionalism values obviously know several telephone interviews companies wonder leave maaf instead wise stop
1.0,carolinee92-78703,Direct Assurance,auto,train,26/08/2019,01/08/2019,941,cet assureur laisse vraiment à désirer vous pensez être assuré jusqu'à ce que vous ayez réellement besoin d'eux et là c'est une autre histoire pour la petite histoire j'ai déclaré un sinistre 460950656 j'ai découvert en stationnement ma voiture avec la porte moche et sans savoir ce qui s'était passé je pense à quelqu'un qui m'est rentré dedans en stationnement l'expert passe et dit que j'ai raclé peut-être sans m'en rendre compte résultat plutôt que de me mettre un malus l'assurance n'a pas voulu prendre en charge ce sinistre et je dois prendre totalement à ma charge un sinistre alors que je suis assuré tout risque et que je les ai lui-même appelé pour leur dire de respecter ce que l'expert a dit et me mettre le malus je trouve cette situation inacceptable et j'espère que ce commentaire dissuadera les futurs clients d'aller chez cet assureur parfois il vaut mieux payer légèrement plus cher et être vraiment assuré,this insurer really leaves something to be desired you think you are insured until you really need them and that's another story for the record I declared a claim 460950656 I discovered my car parked with the ugly door and without knowing what had happened I think of someone who crashed into me while parked the expert comes by and says that perhaps I scraped without realizing it result rather than putting me a penalty the insurance did not want to cover this loss and I have to take full responsibility for a loss even though I am fully insured and I called them myself to tell them to respect what the expert said and give me the penalty I find this situation unacceptable and I hope that this comment will dissuade future customers from going to this insurer sometimes it is better to pay slightly more and be truly insured,insurer really leaves something desired think insured really need that's another story record declared claim 460950656 discovered parked ugly door knowing happened think someone crashed parked expert comes says perhaps scraped realizing result rather putting penalty want cover loss take full responsibility loss though fully insured called tell respect expert said give penalty find situation unacceptable hope comment dissuade future customers going insurer sometimes better pay slightly truly insured
