note,auteur,avis,assureur,produit,type,date_publication,date_exp,avis_en,longueur_avis,avis_clean,avis_corrected,avis_en_clean
5.0,spicher-c-126383,"Très bon accueil téléphonique a chaque fois .Très bien renseigné,toujours très bien dirigé dans nos démarches avec de bonnes et claires explications .",L'olivier Assurance,auto,train,04/08/2021,01/08/2021,"Very warm telephone reception each time. Very well informed, always very well directed in our steps with good and clear explanations.",150,très bon accueil téléphonique a chaque fois très bien renseigné toujours très bien dirigé dans nos démarches avec de bonnes et claires explications,très bon accueil téléphonique a chaque fois très bien renseigné toujours très bien dirigé dans nos démarches avec de bonnes et claires explications,very good telephone reception each time very well informed always very well guided in our procedures with good and clear explanations
4.0,rdd-99852,"J'apprecie le réseau de ses agences , l'accueil et le professionnalisme des interlocuteurs concernant les différents contrats et leur expertise et efficacité concernant les sinistres.",AXA,auto,train,08/11/2020,01/11/2020,"I appreciate the network of its agencies, the reception and professionalism of interlocutors concerning the various contracts and their expertise and efficiency concerning claims.",183,j'apprecie le réseau de ses agences l'accueil et le professionnalisme des interlocuteurs concernant les différents contrats et leur expertise et efficacité concernant les sinistres,j'apprecie le réseau de ses agences l'accueil et le professionnalisme des interlocuteurs concernant les différents contrats et leur expertise et efficacité concernant les sinistres,"I appreciate the network of its agencies, the welcome and professionalism of the contacts regarding the various contracts and their expertise and efficiency regarding claims"
1.0,jeunehommecolere-65343,"Bonjour,
A tous et a toutes. Voila je suis fonctionnaire territorial en congé longue maladie pendant 2 ans et demie bientôt. j'ai prit une assurance complément de salaire a Intérial pour pouvoir continuer a payer mes factures. Quand j'ai prit le contrat, ça disais que il fallait une carence de 6 mois pour pouvoir bénéficier du complément de salaire. J'ai souscrit a l'assurance le 28 août 2015 et je me suis mit en congé maladie le 26 Octobre 2015. Hors, Interial a commencer a me payer au bout de 3 mois de carences. Aussi ça dit sur ma feuille de calcul de prestation que la date de déclaration est le 1 Novembre 2016. Maintenant il me demande que je l'ai repaye les 10 00 euros qu'ils m'ont verser et refuse de me payer mon complément de salaire. Moi j'ai penser que si j'ai commencer a être payer, ça voulais dire que j'avais respecter le contrat ou que le délais de carence avais changé. Hors ils ont attendu 3 ans et demie pour se rendre compte que le délais de carence n'avais pas étais respecter. Qu'elle recours puis je avoir?.

merci d'avance,
Thomas
",Intériale,prevoyance,train,08/07/2018,01/07/2018,"Hello,
To all and to all. Here I am a territorial civil servant on long sick leave for 2 and a half years soon. I took additional wages insurance to be able to continue paying my bills. When I took the contract, it said that it took a deficiency of 6 months to be able to benefit from the additional salary. I subscribed to the insurance on August 28, 2015 and I set out on sick leave on October 26, 2015. Except, International to start paying me after 3 months of deficiencies. Also that says on my service calculation sheet that the declaration date is November 1, 2016. Now he asks me that I repay it the 10,00 euros that they paid me and refuse to pay me my supplement salary. I think that if I started to be paid, it meant that I had respected the contract or that the deficiency deadline had changed. Except they waited 3 years and a half years to realize that the deficiency deadline had not been respected. That she uses then I have?.

thank you in advance,
Thomas
",1063,bonjour a tous et a toutes voila je suis fonctionnaire territorial en congé longue maladie pendant 2 ans et demie bientôt j'ai prit une assurance complément de salaire a intérial pour pouvoir continuer a payer mes factures quand j'ai prit le contrat ça disais que il fallait une carence de 6 mois pour pouvoir bénéficier du complément de salaire j'ai souscrit a l'assurance le 28 août 2015 et je me suis mit en congé maladie le 26 octobre 2015 hors interial a commencer a me payer au bout de 3 mois de carences aussi ça dit sur ma feuille de calcul de prestation que la date de déclaration est le 1 novembre 2016 maintenant il me demande que je l'ai repaye les 10 00 euros qu'ils m'ont verser et refuse de me payer mon complément de salaire moi j'ai penser que si j'ai commencer a être payer ça voulais dire que j'avais respecter le contrat ou que le délais de carence avais changé hors ils ont attendu 3 ans et demie pour se rendre compte que le délais de carence n'avais pas étais respecter qu'elle recours puis je avoir merci d'avance thomas,bonjour a tous et a toutes voila je suis fonctionnaire territorial en congé longue maladie pendant 2 ans et demie bientôt j'ai prit une assurance complément de salaire a impérial pour pouvoir continuer a payer mes factures quand j'ai prit le contrat ça disais que il fallait une carence de 6 mois pour pouvoir bénéficier du complément de salaire j'ai souscrit a l'assurance le 28 août 2015 et je me suis mit en congé maladie le 26 octobre 2015 hors internat a commencer a me payer au bout de 3 mois de carences aussi ça dit sur ma feuille de calcul de prestation que la date de déclaration est le 1 novembre 2016 maintenant il me demande que je l'ai repaye les 10 00 euros qu'ils m'ont verser et refuse de me payer mon complément de salaire moi j'ai penser que si j'ai commencer a être payer ça voulais dire que j'avais respecter le contrat ou que le délais de carence avais changé hors ils ont attendu 3 ans et demie pour se rendre compte que le délais de carence n'avais pas étais respecter qu'elle recours puis je avoir merci d'avance thorax,"hello to all here I am a territorial civil servant on long sick leave for 2 and a half years soon I took out salary supplement insurance at Imperial to be able to continue to pay my bills when I took out the contract it said that a gap of 6 months was necessary to be able to benefit from the salary supplement I subscribed to the insurance on August 28, 2015 and I went on sick leave on October 26, 2015 outside the boarding school to start paying me at the end of 3 months of deficiencies also it says on my benefit calculation sheet that the declaration date is November 1, 2016 now he asks me that I repaid the 10,00 euros that they paid me and refuses to pay me my salary supplement. I think that if I started to be paid it meant that I had respected the contract or that the waiting period had changed except they waited 3 and a half years to realize that the waiting period had not been respected that she had recourse and then I had thanks in advance thorax"
1.0,jacwar-61584,"A fuir! Devis en ligne: 560e puis au téléphone : 630e sans explication, je décide de souscrire quand même. Puis après l'étude du dossier : 730e qui est débité directement sur votre compte car vous avez autorisé à faire des prélèvements. L'augmentation est du à un bris de glace que j'avais pourtant mentionné par téléphone...  et aussi dans la simulation. ",L'olivier Assurance,auto,train,20/02/2018,01/02/2018,"To flee! Online quote: 560th then on the phone: 630th without explanation, I decide to subscribe anyway. Then after studying the file: 730th which is debited directly from your account because you have authorized to take samples. The increase is due to a break of ice that I had mentioned by phone ... and also in the simulation.",356,a fuir devis en ligne 560e puis au téléphone 630e sans explication je décide de souscrire quand même puis après l'étude du dossier 730e qui est débité directement sur votre compte car vous avez autorisé à faire des prélèvements l'augmentation est du à un bris de glace que j'avais pourtant mentionné par téléphone et aussi dans la simulation,a fuir devis en ligne 560e puis au téléphone 630e sans explication je décide de souscrire quand même puis après l'étude du dossier 730e qui est débité directement sur votre compte car vous avez autorisé à faire des prélèvements l'augmentation est du à un bris de glace que j'avais pourtant mentionné par téléphone et aussi dans la simulation,to avoid online quote 560e then on the phone 630e without explanation I decide to subscribe anyway then after studying the file 730e which is debited directly from your account because you authorized to make withdrawals the increase is due to a broken glass which I had nevertheless mentioned by telephone and also in the simulation
1.0,joss-90046,Gros litige avec AXA après avoir résilier mon contrat Multi professionnels sur une remorque food truck avec documents à l'appui de la chambre des commerces comme quoi mon entreprise était bien arrêtée. Ils ont laissé le contrat professionnel sur mon véhicule tracteur de cette remorque avec un surcoût de 30 € par mois pendant 24 mois. Quand je me suis rendu compte du litige J'ai appelé tout de suite l'assurance qui m'a répondu que je devais surveiller mes comptes et ne pas changer Trop souvent de travail . Donc bien évidemment ils n'ont pas voulu me rend Boursé le trop-perçu. J'ai donc envoyé une réclamation à AXA Paris qui a fait suivre cette réclamation à mon assureur qui m'a rappelé aussitôt pour en premier temps modifier les 30 € en 20 € et me proposer la petite somme de 150 € pour fermer ma bouche. Faites le calcul 24 × 30 on n'y est pas du tout. Je demande le remboursement intégral. Si Monsieur Dominique sur ce forum veux bien communiquer avec moi Ce sera avec grand plaisir,AXA,auto,train,29/05/2020,01/05/2020,Big dispute with AXA after terminating my multi professional contract on a Food Truck trailer with documents in support of the Chamber of Shops that my business was well stopped. They left the professional contract on my tractor vehicle of this trailer with an additional cost of € 30 per month for 24 months. When I realized the dispute I immediately called the insurance that replied that I had to monitor my accounts and not change work too often. So of course they did not want to make me the overpayment. So I sent a complaint to AXA Paris who had this complaint followed to my insurer who reminded me immediately to modify the 30 € in 20 € and offer me the small sum of 150 € to close my mouth. Do the 24 × 30 calculation we are not there at all. I request full reimbursement. If Mr. Dominique on this forum want to communicate with me it will be with great pleasure,993,gros litige avec axa après avoir résilier mon contrat multi professionnels sur une remorque food truck avec documents à l'appui de la chambre des commerces comme quoi mon entreprise était bien arrêtée ils ont laissé le contrat professionnel sur mon véhicule tracteur de cette remorque avec un surcoût de 30 par mois pendant 24 mois quand je me suis rendu compte du litige j'ai appelé tout de suite l'assurance qui m'a répondu que je devais surveiller mes comptes et ne pas changer trop souvent de travail donc bien évidemment ils n'ont pas voulu me rend boursé le trop-perçu j'ai donc envoyé une réclamation à axa paris qui a fait suivre cette réclamation à mon assureur qui m'a rappelé aussitôt pour en premier temps modifier les 30 en 20 et me proposer la petite somme de 150 pour fermer ma bouche faites le calcul 24 30 on n'y est pas du tout je demande le remboursement intégral si monsieur dominique sur ce forum veux bien communiquer avec moi ce sera avec grand plaisir,gros litige avec axa après avoir résilier mon contrat menti professionnels sur une remorque fond truc avec documents à l'appui de la chambre des commerces comme quoi mon entreprise était bien arrêtée ils ont laissé le contrat professionnel sur mon véhicule tracteur de cette remorque avec un surcoût de 30 par mois pendant 24 mois quand je me suis rendu compte du litige j'ai appelé tout de suite l'assurance qui m'a répondu que je devais surveiller mes comptes et ne pas changer trop souvent de travail donc bien évidemment ils n'ont pas voulu me rend bourse le trop-perçu j'ai donc envoyé une réclamation à axa paris qui a fait suivre cette réclamation à mon assureur qui m'a rappelé aussitôt pour en premier temps modifier les 30 en 20 et me proposer la petite somme de 150 pour fermer ma bouche faites le calcul 24 30 on n'y est pas du tout je demande le remboursement intégral si monsieur dominique sur ce forum veux bien communiquer avec moi ce sera avec grand plaisir,big dispute with axa after having terminated my contract lied professionals on a trailer background thing with supporting documents from the chamber of commerce showing that my business was stopped they left the professional contract on my towing vehicle of this trailer with an additional cost of 30 per month for 24 months when I became aware of the dispute I immediately called the insurance who told me that I had to monitor my accounts and not change jobs too often so obviously they did not want to give me back stock market the overpayment I therefore sent a complaint to Axa Paris who forwarded this complaint to my insurer who called me back immediately to first change the 30 into 20 and offer me the small sum of 150 to shut my mouth do the calculation 24 30 we are not there at all I request full reimbursement if Mr. Dominique on this forum would like to communicate with me it will be with great pleasure
1.0,momo-85445,"Bonjour,
Après des années passée a la maif sans aucun sinistre a 50% de bonus depuis 3 années consécutive, surprise pour 2020 encore une augmentation de 20eur pour année 2020.
Pour une clio tiers simple je suis a actuellement a 335eur. Trop chère vue mon bonus de 50% a 40ans.
Concurrence assur carrefour sont a 180eur, au révoir la maif.",MAIF,auto,train,03/01/2020,01/01/2020,"Hello,
After years spent in Maif without any claim at 50% bonuses for 3 consecutive years, surprised for 2020 still an increase of 20eur for year 2020.
For a simple clio third I am currently at 335EUR. Too much view my bonus of 50% at 40 years old.
Competition Assur Carrefour are 180EUR, at the home of Maif.",338,bonjour après des années passée a la maif sans aucun sinistre a 50 de bonus depuis 3 années consécutive surprise pour 2020 encore une augmentation de 20eur pour année 2020 pour une clio tiers simple je suis a actuellement a 335eur trop chère vue mon bonus de 50 a 40ans concurrence assur carrefour sont a 180eur au révoir la maif,bonjour après des années passée a la maif sans aucun sinistre a 50 de bonus depuis 3 années consécutive surprise pour 2020 encore une augmentation de leur pour année 2020 pour une clin tiers simple je suis a actuellement a 335eur trop chère vue mon bonus de 50 a dans concurrence assur carrefour sont a 180eur au revoir la maif,hello after years spent at the maif without any claim has 50 bonus for 3 consecutive years surprise for 2020 another increase in their for year 2020 for a simple third party win I am currently at 335eur too expensive seeing my bonus of 50 a in competition insured carrefour are at 180eur goodbye the maif
4.0,laguna-34635,"Chapeau bas à Mélanie et Hélène de l'agence Matmut proche Gare de Bayonne. Accueil impeccable,compréhension des attentes et adéquation des offres , professionnalisme remarquable, sourire (non forcé) et zeste d'humour appréciable ,patience....ça réconcilie avec le milieu de l'assurance",Matmut,auto,train,26/09/2019,01/09/2019,"Low hat in Mélanie and Hélène of the Matmut agency near Bayonne station. Impeccable welcome, understanding of expectations and adequacy of offers, remarkable professionalism, smile (not forced) and appreciable humor zest, patience .... it reconciles with the insurance industry",285,chapeau bas à mélanie et hélène de l'agence matmut proche gare de bayonne accueil impeccable compréhension des attentes et adéquation des offres professionnalisme remarquable sourire non forcé et zeste d'humour appréciable patience ça réconcilie avec le milieu de l'assurance,chapeau bas à mélange et élève de l'agence matmut proche gare de baronne accueil impeccable compréhension des attentes et adéquation des offres professionnalisme remarquable sourire non forcé et zeste d'humour appréciable patience ça réconcilie avec le milieu de l'assurance,hats off to mix and student of the matmut agency near baronne station impeccable welcome understanding of expectations and adequacy of offers remarkable professionalism unforced smile and appreciable zest of humor patience that reconciles with the insurance world
5.0,millet-c-131035,"Très satisfaite du service commerciale, Mme NASSIMA a été très agréable , à su me conseiller à la perfection et répondre à chacune de mes questions, merci pour ses conseils.",L'olivier Assurance,auto,train,03/09/2021,01/09/2021,"Very satisfied with the commercial service, Ms. Nassima was very pleasant, to advise me to perfection and answer each of my questions, thank you for her advice.",173,très satisfaite du service commerciale mme nassima a été très agréable à su me conseiller à la perfection et répondre à chacune de mes questions merci pour ses conseils,très satisfaite du service commerciale me assuma a été très agréable à su me conseiller à la perfection et répondre à chacune de mes questions merci pour ses conseils,very satisfied with the sales service me assuma was very pleasant to advise me perfectly and answer each of my questions thank you for his advice
5.0,emilie84200-104688,"Une assurance toujours à l’écoute 
Les démarches sont rapide 
Nous ne sommes pas un numéro de client mais une personne propre 
Je recommande cette assureur 
Merci pour votre professionnalisme ",L'olivier Assurance,auto,train,24/02/2021,01/02/2021,"Insurance always listening
The steps are fast
We are not a customer number but a clean person
I recommend this insurer
thank you for your professionalism",192,une assurance toujours à l'écoute les démarches sont rapide nous ne sommes pas un numéro de client mais une personne propre je recommande cette assureur merci pour votre professionnalisme,une assurance toujours à l'écoute les démarches sont rapide nous ne sommes pas un numéro de client mais une personne propre je recommande cette assureur merci pour votre professionnalisme,an insurance always attentive the procedures are quick we are not a customer number but a clean person I recommend this insurer thank you for your professionalism
4.0,cgorgi-46264,"Je n'ai qu'un reproche à faire à Axa , c'est celui de ses tarifs car même en étant au tiers , c'est cher pour les garanties contractées. Sinon pas de problèmes pour la prise en charge des sinistres ",AXA,auto,train,25/10/2020,01/10/2020,"I have only a reproach to do in Axa, it is that of its prices because even by being at third party, it is expensive for the guarantees contracted. Otherwise no problems for the management of claims",198,je n'ai qu'un reproche à faire à axa c'est celui de ses tarifs car même en étant au tiers c'est cher pour les garanties contractées sinon pas de problèmes pour la prise en charge des sinistres,je n'ai qu'un reproche à faire à axa c'est celui de ses tarifs car même en étant au tiers c'est cher pour les garanties contractées sinon pas de problèmes pour la prise en charge des sinistres,I only have one criticism to make of Axa and that is its prices because even if it is a third party it is expensive for the guarantees taken out otherwise no problems for handling claims
1.0,olici54-108074,"Victime d un accident de voiture. Les réparations sur ma voiture ont été minorés après le passage d un deuxième expert. Il y a eut une panne électrique avec cour circuit en 2020 pendant le confinement dans mon grenier.  Aucune aide de la macif, ils n ont trouvé aucun artisans. La personne que j ai eu au téléphone m a dit de mettre en sécurité la maison en débranchant le circuit. J ai quitté la macif cette année pour la maaf, il y avait une promo de 200 euros pour l'ouverture assurance auto et maison.",MACIF,auto,train,26/03/2021,01/03/2021,"Victim of a car accident. The repairs on my car were reduced after the passage of a second expert. There was an electrical failure with a circuit courtyard in 2020 during containment in my attic. No help from the Macif, they found no craftsmen. The person I had on the phone told me to safely put the house by disconnecting the circuit. I left the Macif this year for the MAAF, there was a promo of 200 euros for the Auto and House insurance.",505,victime d un accident de voiture les réparations sur ma voiture ont été minorés après le passage d un deuxième expert il y a eut une panne électrique avec cour circuit en 2020 pendant le confinement dans mon grenier aucune aide de la macif ils n ont trouvé aucun artisans la personne que j ai eu au téléphone m a dit de mettre en sécurité la maison en débranchant le circuit j ai quitté la macif cette année pour la maaf il y avait une promo de 200 euros pour l'ouverture assurance auto et maison,victime d un accident de voiture les réparations sur ma voiture ont été minorés après le passage d un deuxième expert il y a eut une panne électrique avec cour circuit en 2020 pendant le confirment dans mon grenier aucune aide de la macif ils n ont trouvé aucun artisans la personne que j ai eu au téléphone m a dit de mettre en sécurité la maison en débranchant le circuit j ai quitté la macif cette année pour la maaf il y avait une promu de 200 euros pour l'ouverture assurance auto et maison,victim of a car accident the repairs on my car were reduced after the visit of a second expert there was an electrical breakdown with short circuit in 2020 during the confirm in my attic no help from the macif they did not find any craftsmen the person I spoke on the phone told me to make the house safe by disconnecting the circuit I left the macif this year for the maaf there was a promotion of 200 euros for opening car and home insurance
5.0,alex-v-101989,"Je suis satisfait du service de Zen'Up, où les agents sont disponibles. Les prix annoncés sont corrects. Je pourrai recommander volontiers à mon entourage. ",Zen'Up,credit,train,29/12/2020,01/12/2020,"I am satisfied with the zen'up service, where the agents are available. The prices announced are correct. I can gladly recommend to my entourage.",156,je suis satisfait du service de zen'up où les agents sont disponibles les prix annoncés sont corrects je pourrai recommander volontiers à mon entourage,je suis satisfait du service de zen'up où les agents sont disponibles les prix annoncés sont corrects je pourrai recommander volontiers à mon entourage,I am satisfied with the zen'up service where the agents are available the prices announced are correct I can happily recommend to those around me
5.0,morgane-b-134829,"Je suis satisfait !! Les prix sont très intéressants !!
Rapide et efficace. Très contente du service à voir sur du long terme mais je suis satisfait pour l’instant .",Direct Assurance,auto,train,28/09/2021,01/09/2021,"I am satisfied !! The prices are very interesting !!
Fast and effective. Very happy with the service to see in the long term but I am satisfied at the moment.",165,je suis satisfait les prix sont très intéressants rapide et efficace très contente du service à voir sur du long terme mais je suis satisfait pour l'instant,je suis satisfait les prix sont très intéressants rapide et efficace très contente du service à voir sur du long terme mais je suis satisfait pour l'instant,I am satisfied the prices are very attractive fast and efficient very happy with the service to see in the long term but I am satisfied for the moment
1.0,mc86-63217,Politique de l’assurance AXA : augmenter de plus de 20% la cotisation annuelle de l’assurance habitation ou bien encore de résilier les contrats de ses clients dès qu’il y a un sinistre!,AXA,habitation,train,12/04/2018,01/04/2018,AXA insurance policy: increase by more than 20% the annual subscription of home insurance or even terminate the contracts of its customers as soon as there is a claim!,186,politique de l'assurance axa augmenter de plus de 20 la cotisation annuelle de l'assurance habitation ou bien encore de résilier les contrats de ses clients dès qu'il y a un sinistre,politique de l'assurance axa augmenter de plus de 20 la cotisation annuelle de l'assurance habitation ou bien encore de résilier les contrats de ses clients dès qu'il y a un sinistre,axa insurance policy to increase the annual home insurance premium by more than 20% or even to terminate its customers' contracts as soon as there is a disaster
5.0,zeineddine-b-123042,"Je suis très satisfait de la proposition qui m'a été faites.
La transaction a été rapidement conclue et je suis très satisfait de l'accueil de la personne qui m'a reservé !",Direct Assurance,auto,train,10/07/2021,01/07/2021,"I am very satisfied with the proposal made to me.
The transaction was quickly concluded and I am very satisfied with the reception of the person who reserved me!",172,je suis très satisfait de la proposition qui m'a été faites la transaction a été rapidement conclue et je suis très satisfait de l'accueil de la personne qui m'a reservé,je suis très satisfait de la proposition qui m'a été faites la transaction a été rapidement conclue et je suis très satisfait de l'accueil de la personne qui m'a réservé,I am very satisfied with the proposal that was made to me the transaction was quickly concluded and I am very satisfied with the welcome of the person who booked me
1.0,gilles-115287,"J'étais bénéficiaire chez Cocoon depuis janvier 2016 d'un contrat séjour hospitalisation permettant 20€ quotidiens de remboursement, En 2019 et 2020, j'ai subi 93 jours d'hospitalisation. Cocoon a lambiné 3 mois en 2021 pour clore mon dossier.
C'est à ce moment, en mai 2021, que j'ai appris que Génération ignorait l'existence de mon contrat. 5 ans plus tard !
Maintenant, à moi de refaire un gros dossier complet alors qu'il a été envoyé à la demande à Génération, à Quimper.
Voilà de quoi décourager tout assuré, ce qui est sans doute le but. Serai-je remboursé un jour ?
Gilles Petit",Génération,sante,train,29/05/2021,01/05/2021,"I was beneficiary at Cocoon since January 2016 from a hospital stay contract allowing € 20 reimbursement daily, in 2019 and 2020, I suffered 93 days of hospitalization. Cocoon lambin 3 months in 2021 to close my file.
It was at this time, in May 2021, that I learned that Generation was unaware of the existence of my contract. 5 years later !
Now it's up to me to redo a big complete file when he was sent to the request to Generation, to Quimper.
This is enough to discourage everything insured, which is undoubtedly the goal. Will I be reimbursed one day?
Gilles Petit",587,j'étais bénéficiaire chez cocoon depuis janvier 2016 d'un contrat séjour hospitalisation permettant 20 quotidiens de remboursement en 2019 et 2020 j'ai subi 93 jours d'hospitalisation cocoon a lambiné 3 mois en 2021 pour clore mon dossier c'est à ce moment en mai 2021 que j'ai appris que génération ignorait l'existence de mon contrat 5 ans plus tard maintenant à moi de refaire un gros dossier complet alors qu'il a été envoyé à la demande à génération à quimper voilà de quoi décourager tout assuré ce qui est sans doute le but serai-je remboursé un jour gilles petit,j'étais bénéficiaire chez cochon depuis janvier 2016 d'un contrat séjour hospitalisation permettant 20 quotidiens de remboursement en 2019 et 2020 j'ai subi 93 jours d'hospitalisation cochon a lambine 3 mois en 2021 pour clore mon dossier c'est à ce moment en mai 2021 que j'ai appris que génération ignorait l'existence de mon contrat 5 ans plus tard maintenant à moi de refaire un gros dossier complet alors qu'il a été envoyé à la demande à génération à quitter voilà de quoi décourager tout assuré ce qui est sans doute le but serai-je remboursé un jour filles petit,I was the beneficiary at Pig since January 2016 of a hospitalization stay contract allowing 20 daily reimbursements in 2019 and 2020 I underwent 93 days of hospitalization Pig a Lambine 3 months in 2021 to close my file it was at this moment in May 2021 that I learned that generation was unaware of the existence of my contract 5 years later now it's up to me to redo a large complete file while it was sent on request to generation to leave this is enough to discourage any insured which is undoubtedly the goal will I be reimbursed one day little girls
4.0,yassaoues-62200,"Apres 2 sinistres a 7 jours d’intervalle (1er sinistre un vandalisme voiture complètement rayé par une clé , 2eme sinistre marche arrière et leger choc sur la voiture derrière) j’ai vu mon contrat se résilier ... dommage , mon père était chez eux pendant 50 années , mis a part cette grande déception c’est un assureur très compétent je recommande ",MACIF,auto,train,11/03/2018,01/03/2018,"After 2 claims at 7 days apart (1st sinister a car vandalism completely striped by a key, 2nd sinister reverse and light shock on the car behind) I saw my contract are terminated ... Too bad, my father was at home them for 50 years, apart from this great disappointment it is a very competent insurer I recommend",348,apres 2 sinistres a 7 jours d'intervalle 1er sinistre un vandalisme voiture complètement rayé par une clé 2eme sinistre marche arrière et leger choc sur la voiture derrière j'ai vu mon contrat se résilier dommage mon père était chez eux pendant 50 années mis a part cette grande déception c'est un assureur très compétent je recommande,après 2 sinistres a 7 jours d'intervalle mer sinistre un vandalisme voiture complètement rayé par une clé me sinistre marche arrière et léger choc sur la voiture derrière j'ai vu mon contrat se résilier dommage mon père était chez eux pendant 50 années mis a part cette grande déception c'est un assureur très compétent je recommande,after 2 disasters 7 days apart sea disaster vandalism car completely scratched by a key disaster reverse and slight shock on the car behind I saw my contract terminated damage my father was with them for 50 years apart from this great disappointment it is a very competent insurer I recommend
1.0,doraeole-110529,"La MAIF est une assurance qui prône la solidarité. MAIF, assureur militant...
Où est la solidarité quand les assurés les plus pauvres, qui ne peuvent régler leur assurance en une seule fois se voient proposer différentes solutions de paiement en plusieurs fois, mais sans toujours préciser que il s’agit là d’un crédit avec intérêt. Un « effort financier »  corrige le conseiller que j’ai en ligne! Ainsi ce sont donc les plus pauvres qui doivent faire un « effort financier ». Jolie démonstration de solidarité! Assureur militant? Pour quelle cause?!!!",MAIF,auto,train,15/04/2021,01/04/2021,"MAIF is an insurance that advocates solidarity. Maif, militant insurer ...
Where is solidarity when the poorest insureders, who cannot settle their insurance in one go are offered different payment solutions in several times, but without always specifying that this is a credit with interest. A ""financial effort"" corrects the advisor I have online! So it is therefore the poorest who must make a ""financial effort"". Nice demonstration of solidarity! Militant insurer? For what cause? !!!",553,la maif est une assurance qui prône la solidarité maif assureur militant où est la solidarité quand les assurés les plus pauvres qui ne peuvent régler leur assurance en une seule fois se voient proposer différentes solutions de paiement en plusieurs fois mais sans toujours préciser que il s'agit là d'un crédit avec intérêt un effort financier corrige le conseiller que j'ai en ligne ainsi ce sont donc les plus pauvres qui doivent faire un effort financier jolie démonstration de solidarité assureur militant pour quelle cause,la maif est une assurance qui prône la solidarité maif assureur militant où est la solidarité quand les assurés les plus pauvres qui ne peuvent régler leur assurance en une seule fois se voient proposer différentes solutions de paiement en plusieurs fois mais sans toujours préciser que il s'agit là d'un crédit avec intérêt un effort financier corrige le conseiller que j'ai en ligne ainsi ce sont donc les plus pauvres qui doivent faire un effort financier jolie démonstration de solidarité assureur militant pour quelle cause,maif is an insurance which advocates solidarity maif militant insurer where is the solidarity when the poorest policyholders who cannot pay for their insurance in one go are offered different payment solutions in several installments but without always specifying that this is a credit with interest a financial effort corrects the advisor that I have online so it is therefore the poorest who must make a financial effort nice demonstration of solidarity militant insurer for what cause
2.0,caro21-53309,sinistre non résolu datant  de juillet 2016,MAIF,auto,train,16/03/2017,01/03/2017,Unresolved disaster dating from July 2016,43,sinistre non résolu datant de juillet 2016,sinistre non résolu datant de juillet 2016,unresolved incident dating from July 2016
5.0,alexandre-h-105796,je suis satisfait de votre service . merci.les tarifs proposés d’assurances me semblent attractif. Me Hazera alexandre 1940 Avenue de toulouse 33140 cadaujac,Zen'Up,credit,train,08/03/2021,01/03/2021,I am satisfied with your service. Thank you. The proposed insurance rates seem attractive to me. Me HAZERA Alexandre 1940 avenue de Toulouse 33140 Cadaujac,157,je suis satisfait de votre service merci les tarifs proposés d'assurances me semblent attractif me hazera alexandre 1940 avenue de toulouse 33140 cadaujac,je suis satisfait de votre service merci les tarifs proposés d'assurances me semblent attractif me paiera alexandre 1940 avenue de houleuse 33140 cadaujac,I am satisfied with your service thank you the proposed insurance rates seem attractive to me will pay me alexandre 1940 avenue de houleuse 33140 cadaujac
5.0,emmanuel-f-123055,je suis satisfait du service et des prix tres competitifs. A voir dans le temps en foction d'eventuels incidents pour voir la prise en charge. Pas d'agence tout par telephone point negatif.,Direct Assurance,auto,train,10/07/2021,01/07/2021,I am satisfied with the service and very competitive prices. To see in time in focus of incidents to see the care. No agency all by phone point Negative.,189,je suis satisfait du service et des prix tres competitifs a voir dans le temps en foction d'eventuels incidents pour voir la prise en charge pas d'agence tout par telephone point negatif,je suis satisfait du service et des prix très compétitifs a voir dans le temps en fonction d'eventuels incidents pour voir la prise en charge pas d'agence tout par téléphone point négatif,I am satisfied with the service and the very competitive prices to see over time depending on possible incidents to see the support no agency all by telephone negative point
5.0,sadoun-d-131191,"simple et pratique je suis satisfait j'aimerai juste une petite ristourne de temps en temps . 
en tout cas votre réactivité est exemplaire bravo je vous recommande.",L'olivier Assurance,auto,train,04/09/2021,01/09/2021,"Simple and practical I am satisfied I would just like a little discount from time to time.
In any case your responsiveness is exemplary bravo I recommend you.",164,simple et pratique je suis satisfait j'aimerai juste une petite ristourne de temps en temps en tout cas votre réactivité est exemplaire bravo je vous recommande,simple et pratique je suis satisfait j'aimerai juste une petite ristourne de temps en temps en tout cas votre réactivité est exemplaire bravo je vous recommande,simple and practical I am satisfied I would just like a small discount from time to time in any case your responsiveness is exemplary well done I recommend you
